ta_variant,ec_variant,drp_variant,ta_r2,ec_r2,drp_r2,avg_spatial
no_old,no_old,base,0.40765294171284716,0.3393822283284469,0.17843135297829782,0.3084888410065306
base,no_old,base,0.40851580757844974,0.33590240539431626,0.17673209867092732,0.3070501038812311
no_old,no_old,no_old,0.40765294171284716,0.3393822283284469,0.17314040308722578,0.30672519104283996
base,no_old,no_old,0.40851580757844974,0.33590240539431626,0.17416008744494016,0.3061927668059021
no_old,base,base,0.40765294171284716,0.3330474742045594,0.17491673667193874,0.30520571752978176
base,base,base,0.40851580757844974,0.3279853994744073,0.1773651082794141,0.30462210511075705
