set,n_features,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,avg
all_plus,33,0.28392592053907617,0.20446920687065984,0.09907559685160672,0.1958235747537809
api12_climate,19,0.2803821729042646,0.19689145279502773,0.10081081613362619,0.19269481394430618
api12_climate_q,22,0.2769293308915771,0.1972072468537075,0.0988889663072342,0.19100851468417293
all_small,29,0.27678112830456825,0.18731296726121915,0.09372883067833582,0.18594097541470775
api12_old_q,22,0.12201494676943936,0.12619632662521407,0.059906546775160274,0.10270594005660456
api12_q,15,0.11539807805304247,0.13382798958762065,0.054732364634083486,0.10131947742491554
api12,12,0.1156480129070876,0.1286161078625908,0.05793154084960994,0.10073188720642945
api12_old,19,0.12324181518165478,0.11961749908447072,0.059037903499126854,0.10063240592175078
