variant,ta_r2,ec_r2,drp_r2,avg_spatial,avg_features
no_quality_flags,0.41409538864919393,0.3442454745519311,0.16660959603706227,0.30831681974606245,38.0
no_old_optics,0.410510198748786,0.33108974518381973,0.17977053799329445,0.3071234939753001,39.0
base,0.40851580757844974,0.3279853994744073,0.1773651082794141,0.30462210511075705,46.0
ec_with_lat,0.40851580757844974,0.32001358178818884,0.17868891522696573,0.30240610153120145,46.3
drp_no_chain,0.40851580757844974,0.3279853994744073,0.17068506221441082,0.3023954230890893,46.0
drp_no_lat,0.40851580757844974,0.3279853994744073,0.14315463698287834,0.29321861467857846,45.7
